City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,polyarnyy,69.1989,33.4478,18.03,75,0,3.15,RU,1691621872
461,itaguai,-22.8522,-43.7753,21.94,78,0,6.17,BR,1691621873
462,ixtapa,20.7,-105.2,32.35,73,55,1.79,MX,1691621401
463,barra de santo antonio,-9.4047,-35.5072,23.6,79,66,4.99,BR,1691621874
464,ilhabela,-23.7781,-45.3581,20.15,93,100,6.93,BR,1691621875
465,paraty,-23.2178,-44.7131,20.46,97,98,1.7,BR,1691621706
466,attapeu,14.8,106.8333,24.3,92,100,0.34,LA,1691621876
467,sirte,31.2089,16.5887,26.2,61,1,4.18,LY,1691621877
468,umm as sahik,26.6536,49.9164,35.08,48,0,4.23,SA,1691621877
469,kamaishi,39.2667,141.8833,26.91,85,39,6.09,JP,1691621878
470,conceicao da barra,-18.5933,-39.7322,21.65,84,8,2.1,BR,1691621878
471,kurchum,48.5722,83.6542,18.06,57,3,2.36,KZ,1691621879
472,bandar lampung,-5.4254,105.258,22.52,96,74,0.45,ID,1691621879
473,labuan bajo,-8.4964,119.8877,22.23,72,20,1.82,ID,1691621880
474,mhamid,29.82,-5.72,35.48,10,9,3.52,MA,1691621881
475,north bend,43.4065,-124.2243,27.91,68,40,6.17,US,1691621881
476,thinadhoo,0.5333,72.9333,27.46,76,92,3.92,MV,1691621882
477,pisco,-13.7,-76.2167,20.03,77,20,7.2,PE,1691621877
478,inari,68.906,27.0288,18.11,92,19,0.84,FI,1691621883
479,plastun,44.7561,136.2939,16.66,99,100,2.33,RU,1691621884
480,leningradskaya,46.3214,39.3877,23.84,49,78,3.16,RU,1691621885
481,kurchatov,51.6601,35.6521,14.23,85,3,2.76,RU,1691621886
482,huarmey,-10.0681,-78.1522,20.69,76,31,4.66,PE,1691621886
483,cascais,38.6979,-9.4215,22.19,84,20,7.15,PT,1691621887
484,anjala,60.6833,26.8333,14.51,92,93,1.72,FI,1691621887
485,geraldton,-28.7667,114.6,11.23,87,100,1.54,AU,1691621888
486,baffa,34.4378,73.2194,24.12,65,33,1.79,PK,1691621889
487,kahramanmaras,38.0,37.0,21.99,53,0,2.87,TR,1691621890
488,namtsy,62.7161,129.6658,18.47,49,18,3.39,RU,1691621890
489,katabu,-4.9333,122.5167,24.27,79,79,1.96,ID,1691621891
490,akim oda,5.9231,-0.9951,21.75,97,100,2.05,GH,1691621891
491,el granada,37.5027,-122.4694,31.56,74,100,6.17,US,1691621892
492,hassi messaoud,31.6804,6.0729,34.92,17,0,1.03,DZ,1691621893
493,dapa,9.7594,126.0531,26.76,81,100,2.86,PH,1691621893
494,luba,3.4568,8.5547,25.09,89,86,3.37,GQ,1691621894
495,puerto carreno,6.189,-67.4859,26.99,83,40,3.09,CO,1691621895
496,mirny,62.5353,113.9611,16.8,88,91,3.13,RU,1691621895
497,asau,46.4333,26.4,14.6,64,85,1.18,RO,1691621896
498,richards bay,-28.783,32.0377,19.34,68,99,1.74,ZA,1691621896
499,sona,45.4388,10.8255,21.75,83,0,1.54,IT,1691621897
500,san julian,21.0167,-102.1667,19.5,71,37,7.35,MX,1691621898
501,dakhla,23.6848,-15.958,20.8,93,4,9.97,EH,1691621899
502,salanso,12.1833,-4.0833,22.51,90,100,2.81,BF,1691621899
503,smithville,39.3869,-94.5811,29.9,59,40,1.54,US,1691621900
504,gorebridge,55.8459,-3.0456,16.25,88,66,2.86,GB,1691621900
505,nsanje,-16.92,35.262,16.81,94,41,1.53,MW,1691621901
506,kibre mengist,5.8833,38.9833,15.33,84,99,0.62,ET,1691621901
507,dzhetygara,52.1908,61.2006,17.08,81,85,5.78,KZ,1691621902
508,nantucket,41.2835,-70.0995,27.08,65,20,7.2,US,1691621766
509,mount pearl,47.5166,-52.7813,12.75,90,100,5.14,CA,1691621902
510,porto santo stefano,42.4338,11.1237,19.79,68,42,2.98,IT,1691621903
511,tyukhtet,56.5389,89.3011,12.27,91,75,1.64,RU,1691621904
512,mut,36.6439,33.4389,25.32,68,0,1.5,TR,1691621904
513,sao gabriel da cachoeira,-0.1303,-67.0892,24.41,92,53,0.74,BR,1691621905
514,zhalantun,48.0,122.7167,16.98,89,99,2.37,CN,1691621905
515,eeklo,51.187,3.5565,14.96,86,3,1.54,BE,1691621906
516,newman,37.3138,-121.0208,35.59,12,0,5.93,US,1691621907
517,onega,63.9061,38.1404,14.79,81,1,3.23,RU,1691621908
518,launceston,-41.45,147.1667,11.3,93,100,3.09,AU,1691621908
519,ulladulla,-35.35,150.4667,17.83,42,99,5.61,AU,1691621909
520,pacocha,-17.5833,-71.3333,16.83,85,42,0.87,PE,1691621909
521,praia da vitoria,38.7333,-27.0667,25.14,78,40,2.83,PT,1691621910
522,marka,1.7159,44.7717,23.94,87,51,6.55,SO,1691621910
523,haiku-pauwela,20.9219,-156.3051,28.98,56,40,11.32,US,1691621876
524,ressano garcia,-25.442,31.9913,15.66,95,1,1.86,MZ,1691621911
525,grand falls-windsor,48.9332,-55.6649,14.72,90,100,4.54,CA,1691621912
526,gorgoram,12.6398,10.7039,26.79,67,100,4.63,NG,1691621912
527,morant bay,17.8815,-76.4093,30.79,79,8,3.42,JM,1691621913
528,tanah rata,4.475,101.3704,16.4,97,100,0.07,MY,1691621913
529,petawawa,45.9001,-77.3328,26.55,47,26,1.97,CA,1691621914
530,mkuranga,-7.118,39.2078,20.88,89,5,2.93,TZ,1691621914
531,el porvenir,13.7617,-87.3458,31.63,48,94,1.69,HN,1691621915
532,hengchun,22.0042,120.7439,27.98,84,99,7.66,TW,1691621915
533,gizo,-8.103,156.8419,26.5,80,99,9.78,SB,1691621916
534,xilin hot,43.9667,116.0333,18.46,72,1,1.75,CN,1691621917
535,santo antonio do ica,-3.1022,-67.9397,25.28,84,96,0.48,BR,1691621917
536,hammerfest,70.6634,23.6821,21.25,68,3,1.03,NO,1691621918
537,miyazu,35.5333,135.1833,28.11,70,55,8.68,JP,1691621919
538,uliastay,47.7417,96.8444,13.64,85,98,0.92,MN,1691621919
539,ghanzi,-21.5667,21.7833,12.14,22,2,6.25,BW,1691621920
540,san antonio de pale,-1.4014,5.6325,23.65,81,91,5.39,GQ,1691621920
541,berber,18.0216,33.983,31.45,45,99,7.33,SD,1691621921
542,westport,41.1415,-73.3579,29.99,55,37,1.79,US,1691621921
543,ladario,-19.0047,-57.6017,29.05,39,58,1.18,BR,1691621922
544,ouani,-12.1322,44.4258,24.07,78,25,5.03,KM,1691621922
545,buala,-8.145,159.5921,26.84,83,91,3.54,SB,1691621923
546,horta,38.5333,-28.6333,23.8,91,20,3.6,PT,1691621923
547,tidjikja,18.5564,-11.4271,34.97,20,16,5.69,MR,1691621924
548,nampula,-15.1165,39.2666,17.97,88,40,3.6,MZ,1691621924
549,sassandra,4.95,-6.0833,23.74,86,92,4.24,CI,1691621925
550,zima,53.9202,102.0442,15.23,93,97,2.73,RU,1691621925
551,okha,53.5739,142.9478,14.63,87,93,2.89,RU,1691621926
552,bocas del toro,9.3333,-82.25,26.79,77,68,0.45,PA,1691621926
553,morondava,-20.2833,44.2833,20.86,75,1,2.15,MG,1691621927
554,mariental,-24.6333,17.9667,16.24,22,24,7.36,NA,1691621719
555,aripuana,-9.1667,-60.6333,29.17,43,78,1.24,BR,1691621928
556,amga,60.8953,131.9608,17.91,51,67,2.45,RU,1691621917
557,vikhorevka,56.1201,101.1636,14.77,81,100,1.76,RU,1691621929
558,gangneung,37.7556,128.8961,22.31,98,100,9.43,KR,1691621930
559,birobidzhan,48.8,132.95,19.52,69,100,3.38,RU,1691621651
560,gemena,3.25,19.7667,21.23,99,100,0.89,CD,1691621931
561,khalkhal,37.6189,48.5258,17.79,41,0,2.0,IR,1691621933
